category_id,category_name,bias_types,indicator,severity,requires_context,recommended_action
C01,Personality & Temperament,Type 1 — Direct Identity Bias,angry,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,aggressive,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,hostile,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,intimidating,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,scary,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,threatening,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,bossy,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,controlling,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,mean,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,rude,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,cold,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,harsh,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,abrasive,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,defensive,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,unapproachable,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,condescending,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,has a chip on their shoulder,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,seems angry all the time,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,takes things too personally,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,has an attitude,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,rubs students the wrong way,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
C01,Personality & Temperament,Type 1 — Direct Identity Bias,went on a rant,review,recommended,"Flag for bias review; look for tone-policing, gendered/racialized stereotypes, and clustering with other identity-coded terms."
